title,description,text,date,language
ILO chief says pandemic's impact on work is 'cataclysmic' - Reuters,"The head of the International Labour Organization on Monday described the impact of the COVID-19 pandemic on the world of work as ""cataclysmic"" and much worse than that of the 2008 financial crisis.","By Reuters Staff
GENEVA, June 7 (Reuters) - The head of the International Labour Organization on Monday described the impact of the COVID-19 pandemic on the world of work as cataclysmic and much wor… [+430 chars]",2021-06-07,en
G7: Boris Johnson appears to repudiate Tory austerity at summit opening,PM tells world leaders it is vital not to repeat the mistakes of the 2008 crash and entrench inequality<ul><li>G7 summit: latest news and reaction</li></ul>Boris Johnson has told his fellow G7 leaders in Cornwall they should avoid repeating the mistakes of 20…,"Boris Johnson has told his fellow G7 leaders in Cornwall they should avoid repeating the mistakes of 2008, when the recovery from the deep recession that followed the financial crisis entrenched ineq… [+4693 chars]",2021-06-11,en
Key Digital Wealth Managers: How robo-advisors present an opportunity for fintechs and incumbents alike,"Digital wealth managers, also called robo-advisors, came into existence after the financial crisis in 2008, when fintechs aimed to simplify and democratize wealth management services with technology-first solutions.","Digital wealth managers, also called robo-advisors, came into existence after the financial crisis in 2008, when fintechs aimed to simplify and democratize wealth management services with technology-… [+636 chars]",2021-06-15,en
U.S. Supreme Court tosses class action ruling against Goldman Sachs - Reuters,The U.S. Supreme Court on Monday handed a victory to Goldman Sachs Group Inc (GS.N) in its bid to avoid an investor class action lawsuit accusing the bank of hiding conflicts of interest when creating risky subprime securities before the 2008 financial crisis.,"The Goldman Sachs company logo is seen in the company's space on the floor of the New York Stock Exchange, (NYSE) in New York, U.S., April 17, 2018. REUTERS/Brendan McDermidJune 21 (Reuters) - The U.… [+3019 chars]",2021-06-21,en
Icelandic bank’s rebirth is reassuringly prudent - Reuters,"Icelandic banking has an ominous history. The North Atlantic country’s three largest lenders, Kaupthing, Landsbanki and Glitnir, more than doubled their assets in 2004, and again in 2005, only to fail simultaneously in 2008. Íslandsbanki, a state-owned group …","LONDON (Reuters Breakingviews) - Icelandic banking has an ominous history. The North Atlantic countrys three largest lenders, Kaupthing, Landsbanki and Glitnir, more than doubled their assets in 2004… [+3509 chars]",2021-06-09,en
UPDATE 1-Businesswoman Amanda Staveley's appeal refused in Barclays case - Reuters,"Businesswoman Amanda Staveley's appeal to overturn a court's verdict against her in her case against Barclays has been refused, a court filing seen by Reuters on Monday showed.","LONDON (Reuters) -Businesswoman Amanda Staveleys appeal to overturn a courts verdict against her in her case against Barclays has been refused, a court filing seen by Reuters on Monday showed.
A Lon… [+1350 chars]",2021-06-07,en
Ride a Green Swan: central banks grapple with climate risk - Reuters,"The world's top central bankers agreed on Friday they had a clear role to play in tackling climate change and stepped up calls for banks, companies and others to be required to declare their exposure to the looming crisis.","The world's top central bankers agreed on Friday they had a clear role to play in tackling climate change and stepped up calls for banks, companies and others to be required to declare their exposure… [+5394 chars]",2021-06-04,en
A 22-year Wall Street veteran who is now the CEO of a crypto bank told us how the 2008 global financial crisis led her to bitcoin — and breaks down where the real value of cryptocurrencies lies today,"Summary List PlacementNow that cryptocurrencies have become a trillion-dollar force to be reckoned with, Wall Street is eager to get in on the action.
But long ago, in the dawn of bitcoin's creation, there were already many bitcoin enthusiasts inside the big …","Now that cryptocurrencies have become a trillion-dollar force to be reckoned with, Wall Street is eager to get in on the action.
But long ago, in the dawn of bitcoin's creation, there were already m… [+5939 chars]",2021-06-05,en
COLUMN-Only half time in public debt match: Mike Dolan - Reuters,"That appears to be as true for post-pandemic world economic policy and financial markets as for the European football championships now underway. Approaching mid-year in 2021, investors are still not convinced how the game will end up.","(The author is editor-at-large for finance and markets at Reuters News. Any views expressed here are his own)
LONDON, June 25 (Reuters) - Nothing is decided at half time.
That appears to be as true… [+5620 chars]",2021-06-25,en
ANALYSIS-Ghosts of crises past haunt policymakers and markets - Reuters,ANALYSIS-Ghosts of crises past haunt policymakers and markets  Reuters,"* Feds hawkish shift highlights risk of early stimulus withdrawal
* Premature tightening derailed recovery after financial crisis
* But governments now emphasising continued support
LONDON, July 1… [+5237 chars]",2021-07-01,en
Icelandic bank's rebirth is reassuringly prudent - Reuters,"Icelandic banking has an ominous history. The North Atlantic country’s three largest lenders, Kaupthing, Landsbanki and Glitnir, more than doubled their assets in 2004, and again in 2005, only to fail simultaneously in 2008. Íslandsbanki, a state-owned group …","Iceland's national flags flutter over the souvenir shop in Reykjavik, Iceland August 19, 2019. Icelandic banking has an ominous history. The North Atlantic countrys three largest lenders, Kaupthing, … [+3392 chars]",2021-06-09,en
Price rises should be short-lived – so let’s not resurrect inflation as a bogeyman | William Mitchell,"Until full employment is reached, governments need not cut back on public spendingA decade ago the financial press, echoing predictions from mainstream macroeconomists, obsessed about whether governments would run out of money as deficits rose to combat the g…","A decade ago the financial press, echoing predictions from mainstream macroeconomists, obsessed about whether governments would run out of money as deficits rose to combat the global financial crisis… [+6651 chars]",2021-06-08,en
"Canadian home sales, prices drop from the month before amid buyer fatigue - Financial Post","<ol><li>Canadian home sales, prices drop from the month before amid buyer fatigue  Financial Post
</li><li>Canadian real estate: CREA says sales fell in 80% of markets in May  Yahoo Canada Finance
</li><li>Average Canadian house price up 38% compared to las…","Article content
OTTAWA Canadian home sales and the average price fell in May compared with the previous month, as frustrated would-be buyers took a break and some of the pandemic urgency to secure a… [+2428 chars]",2021-06-15,en
Analysis: Ghosts of crises past haunt policymakers and markets - Reuters,A hawkish turn by the Federal Reserve has woken up world markets to the prospect that policymakers might soon start withdrawing monetary and fiscal stimulus -- and the risk of too-hasty action that could choke off the economic recovery before it is secured.,"A man points a computer screen showing stock information in this illustration photo taken in Bordeaux, France, March 30, 2016. REUTERS/Regis DuvignauLONDON, July 1 (Reuters) - A hawkish turn by the F… [+5318 chars]",2021-07-01,en
"EU Commission wants stronger product safety, credit rules for consumers - Reuters","The European Commission on Wednesday proposed beefing up product safety and consumer credit rules for consumers, prompted by the surge in online shopping by people during COVID-19 lockdowns and the increasing digitalisation of everyday life.","European Commission vice-president in charge for Values and Transparency Vera Jourova gives a press conference during a General Affairs Council in Luxembourg, June 22, 2021. John Thys/Pool via REUTER… [+1855 chars]",2021-06-30,en
"U.S. corporate junk-bond spread narrows, lowest since 2007 - Reuters","The yield spread between junk-rated corporate bonds and U.S. Treasuries tightened further late on Wednesday, falling to its lowest level in more than a decade as yield-hungry investors snapped up risky debt.","Floor traders work space is seen on the trading floor after the closing bell at the New York Stock Exchange (NYSE) in New York, U.S., March 19, 2020. REUTERS/Lucas JacksonCHICAGO, June 17 (Reuters) -… [+1275 chars]",2021-06-17,en
Iceland completes largest IPO in history with Islandsbanki offering - Reuters,Iceland has completed its largest ever initial public offering as the state has sold off more than a third of its stake in the bank Islandsbanki in an oversubscribed offering that will value the lender at $1.3 billion.,"By Reuters Staff
COPENHAGEN, June 16 (Reuters) - Iceland has completed its largest ever initial public offering as the state has sold off more than a third of its stake in the bank Islandsbanki in a… [+1361 chars]",2021-06-16,en
GRAPHIC-Back to the future: 2020s to echo roaring 20s or inflationary 70s? - Reuters,"The 2020s have only just begun but there is already a rush to draw parallels with the past, prompted by a belief that COVID-19 will mark a turning point for the world economy and financial markets.","LONDON, June 14 (Reuters) - The 2020s have only just begun but there is already a rush to draw parallels with the past, prompted by a belief that COVID-19 will mark a turning point for the world econ… [+4670 chars]",2021-06-14,en
Back to the future: 2020s to echo roaring 20s or inflationary 70s? - Reuters,"The 2020s have only just begun but there is already a rush to draw parallels with the past, prompted by a belief that COVID-19 will mark a turning point for the world economy and financial markets.","The 2020s have only just begun but there is already a rush to draw parallels with the past, prompted by a belief that COVID-19 will mark a turning point for the world economy and financial markets.
… [+4534 chars]",2021-06-14,en
Conditions are ripe for repeat of 1970s stagflation and 2008 debt crisis | Nouriel Roubini,"Warning signs are there for global economy, and central banks will be left in impossible positionIn April, I warned that today’s extremely loose monetary and fiscal policies, when combined with a number of negative supply shocks, could result in 1970s-style s…","In April, I warned that todays extremely loose monetary and fiscal policies, when combined with a number of negative supply shocks, could result in 1970s-style stagflation (high inflation alongside a… [+6262 chars]",2021-07-02,en
"Finance, Bruxelles rallume la mèche","Selon ses promoteurs, la mise en place d'une union des marchés de capitaux d'ici à 2019 devrait améliorer le financement des entreprises et stimuler l'investissement dans l'Union européenne. Mais ce projet fait craindre le retour de la crise financière. / Ban…","Le projet dunion des marchés de capitaux sur les rails
Selon ses promoteurs, la mise en place dune union des marchés de capitaux dici à 2019 devrait améliorer le financement des entreprises et stimu… [+3651 chars]",2021-06-10,fr
Les fonds de dette pour entreprises en difficulté sont déprimés,"Tablant sur un boom des faillites, ils ont levé des montants records en 2020. Certains pourraient rendre l’argent.","Tablant sur un boom des faillites, ils ont levé des montants records en 2020. Certains pourraient rendre largent.Grande déception pour les fonds spécialisés dans le rachat de dettes dentreprises en d… [+1193 chars]",2021-06-27,fr
Les hedge funds à l’assaut de la presse américaine,"Avec les fonds d’investissement, ils contrôlent la moitié des quotidiens d’information du pays.","Avec les fonds dinvestissement, ils contrôlent la moitié des quotidiens dinformation du pays.La presse américaine a payé un lourd tribut à la pandémie. Plus de 70 titres régionaux ou locaux ont dispa… [+1161 chars]",2021-06-23,fr
"Handball : au HBC Nantes, un dernier Final Four avant « un changement d’époque »","Le « H » affronte Barcelone samedi en demi-finale de Ligue des champions, dernière occasion de triompher pour une génération de joueurs qui ont permis au club de s’affirmer sur la scène européenne.","Les joueurs du HBC Nantes, après leur victoire en 2018 en demi-finale de Ligue des champions contre le PSG. PATRIK STOLLARZ / AFP
Si lon ny jette quun coup dil distrait, le Final Four de handball qu… [+6771 chars]",2021-06-12,fr
"Rich Lesser, patron du BCG: «Sur le climat, l’Europe a de l’avance et des atouts à faire valoir»","INTERVIEW - Le PDG du Boston Consulting Group, partenaire de Choose France, organisé lundi par l’Élysée analyse la transformation post-Covid des entreprises, les forces et les faiblesses de l’Europe ou de la Chine.","INTERVIEW - Le PDG du Boston Consulting Group, partenaire de Choose France, organisé lundi par lÉlysée analyse la transformation post-Covid des entreprises, les forces et les faiblesses de lEurope ou… [+1226 chars]",2021-06-25,fr
"«Paris Match» et «JDD»: un patron, deux perditions","Les deux journaux dirigés par Hervé Gattegno traversent une crise éditoriale et sociale sans précédent, accentuée par les révélations sur la manipulation de la rétractation de Ziad Takieddine dans l’affaire libyenne. Révélations sur deux rédactions à bout de …","Un directeur, deux rédactions et un même chaos. Dirigés par le journaliste Hervé Gattegno, les deux titres de presse phares du groupe Lagardère, Paris Match et Le Journal du dimanche (JDD), traversen… [+35028 chars]",2021-06-26,fr
"Pendant la pandémie, la planète a produit un peu moins de plastique","Paris - Pour la troisième fois seulement depuis le début du 20e siècle et de l'ère industrielle, la production annuelle mondiale de plastique a reculé en 2020, en raison de l'impact de la crise sanitaire.","L'an passé, la planète a produit un million de tonnes de plastique de moins qu'en 2019: 367 millions de tonnes contre 368 l'année précédente, selon l'association européenne des producteurs de plastiq… [+3856 chars]",2021-06-10,fr
Les Bermudes ne veulent pas entendre parler de taxation mondiale des sociétés,"Le ministre des Finances de ce paradis fiscal invoque la “souveraineté nationale” pour refuser l’idée d’un taux minimal d’imposition de 15 % sur les entreprises. Dans ce territoire britannique d’outre-mer qui les exonère d’impôts sur les bénéfices, une telle …",Le ministre des Finances de ce paradis fiscal invoque la souveraineté nationale pour refuser lidée dun taux minimal dimposition de 15 % sur les entreprises. Dans ce territoire britannique doutre-mer … [+2205 chars],2021-06-26,fr
"Crise des subprimes : la banque Natixis condamnée à 7,5 millions d'euros d'amende pour information trompeuse","La banque a ""sciemment diffusé des informations trompeuses"" durant la crise financière de 2008, a estimé le tribunal correctionnel de Paris jeudi.","La banque a ""sciemment diffusé des informations trompeuses"" durant la crise financière de 2008, a estimé le tribunal correctionnel de Paris jeudi.Natixis a ""sciemment diffusé des informations trompeu… [+1597 chars]",2021-06-24,fr
Abstention : les démocraties libérales ont sauvé leurs économies de la grande crise de 2008. Mais totalement raté sa prise en compte politique,"Lors de la crise financière de 2008, les démocraties libérales se sont mobilisées et ont déployé des mesures pour sauver les banques, les entreprises et des pans entiers de l'économie. La prise en compte politique d’un tel événement n’a pas été réellement au …","Atlantico : Durant la crise de 2008, les démocraties libérales ont tout fait pour sauver les banques et entreprises de la chute et ont mis en place des systèmes afin de sauver des pans entier de l’éc… [+4604 chars]",2021-06-30,fr
"Impôt mondial, climat, pays pauvres... Les principaux points du G7 Finances de Londres",L'un des objectifs principaux du sommet a été atteint avec l'accord trouvé par les puissances sur l'objectif d'un taux minimum de l'impôt sur les sociétés de 15% dans chaque pays où ils opèrent.,"Les puissances du G7 ont trouvé un accord historique ce samedi sur un impôt harmonisé pour les grandes entreprises, tout en s'engageant sur le climat, l'aide aux pays pauvres et la relance post-pandé… [+3818 chars]",2021-06-05,fr
Nomadland : 5 choses à savoir sur ce film oscarisé de Chloe Zhao avec Frances McDormand,"Après avoir multiplié les récompenses, de Venise aux Oscars, ""Nomadland"" de Chloe Zhao avec Frances McDormand sort enfin dans les salles de cinéma françaises. Voici 5 choses à savoir sur le film.>> Lire l'article | sur AlloCiné - mercredi 9 juin 2021","Après avoir multiplié les récompenses, de Venise aux Oscars, ""Nomadland"" de Chloe Zhao avec Frances McDormand sort enfin dans les salles de cinéma françaises. Voici 5 choses à savoir sur le film.
Ap… [+3075 chars]",2021-06-09,fr
"Aux Etats-Unis, la caverne d’Ali Baba pour les impôts des milliardaires américaines","Code fiscal favorable aux revenus financiers et aux investisseurs, imposition plafonnée, prêts non imposables : les vingt-cinq plus grosses fortunes américaines payent des contributions minimes par rapport à leur richesse.","Cest un scoop énorme, mais aussi un désespérant secret de Polichinelle. Les journalistes dinvestigation du site Propublica ont profité dune fuite massive dinformations provenant de lIRS, le fisc fédé… [+6907 chars]",2021-06-09,fr
"Le slogan des opportunistes de gauche : « Sauver des vies, pas les profits ! », est une fumisterie",Comme chacun a pu le constater et comme le confirme le texte en annexe : la conjoncture de crise systémique du mode de production capitaliste est d'une grande complexité. Cette complexité est conséquente au développement des contradictions du capitalisme mond…,Comme chacun a pu le constater et comme le confirme le texte en annexe : la conjoncture de crise systémique du mode de production capitaliste est d'une grande complexité. Cette complexité est conséqu… [+15933 chars],2021-06-28,fr
"Plastique: pendant la pandémie, la planète a produit un peu moins de plastique","Pour la troisième fois seulement depuis le début de l'ère industrielle, la production annuelle mondiale de plastique a reculé en 2020, de 0,3%, en raison de la crise sanitaire, a annoncé jeudi l'association européenne des producteurs de plastique.
En Europe, …","Pour la troisième fois seulement depuis le début de l'ère industrielle, la production annuelle mondiale de plastique a reculé en 2020, de 0,3%, en raison de la crise sanitaire, a annoncé jeudi l'asso… [+2308 chars]",2021-06-10,fr
"Pendant la pandémie, la planète a produit un peu moins de plastique","En Europe, où 55 millions de tonnes de plastiques neufs sont sortis des usines en 2020, le recul de production s'élève à 5,1%, et le phénomène de baisse est encore plus accentué en France, où la production a chuté de 11%.","Pour la troisième fois seulement depuis le début de l'ère industrielle, la production annuelle mondiale de plastique a reculé en 2020, de 0,3%, en raison de la crise sanitaire, a annoncé le 10 juin 2… [+2292 chars]",2021-06-10,fr
"""La pandémie a augmenté la fortune des plus riches""","INTERVIEW - C’est à n’y rien comprendre. Alors que le monde essaie de sortir d’une crise sanitaire sans précédent, que le chômage menace des millions de travailleurs, une petite partie de la population s’enrichit toujours davantage. Ce n’est pas un représenta…","sont les patrimoines les plus élevés qui ont capté le plus de croissance l’an dernier. Cela ne vous surprend pas?Elias Ghanem - Chaque année, Capgemini se penche sur l’évolution de la vingtaine de mi… [+4399 chars]",2021-06-29,fr
La course à l'Arctique passe par Reykjavik,"L'ouverture hypothétique de routes maritimes dans l'océan Arctique suscite un intérêt croissant parmi les puissances commerciales. Pour se rapprocher des ressources naturelles de la région polaire, la Chine courtise l'Islande… / Chine, Géopolitique, Mer, Isla…","Au milieu des herbes jaunes qui bordent le plus long fjord dIslande, M. Thorvaldur Ludvik Sigurjonsson, les cheveux balayés par le vent, désigne du regard lemplacement du futur port de Dysnes. Le con… [+7042 chars]",2021-06-09,fr
"Jean Pisani-Ferry : « Même si l’optimisme se révèle justifié, l’équation budgétaire ne sera pas aisée »","Les effets de la crise économique née de la pandémie seront moins violents que ceux de la crise financière de 2008, affirme l’économiste dans sa chronique.","Chronique. Cinq points de PIB en moins chaque année. 600 milliards en 2021. Cest, selon le FMI (« Perspectives économiques mondiales », octobre 2018), ce que la crise financière de 2008 a coûté aux p… [+3037 chars]",2021-06-05,fr
«L'Union européenne doit adopter une stratégie géopolitique globale vis-à-vis de la Turquie»,"FIGAROVOX/TRIBUNE - Lors du sommet européen des 24 et 25 juin, les pays membres de l'Union européenne ont débattu de l'accord migratoire avec la Turquie. Au-delà de cet enjeu, il faudrait désormais que l'Union européenne adopte une stratégie globale vis-à-vis…","FIGAROVOX/TRIBUNE - Lors du sommet européen des 24 et 25 juin, les pays membres de l'Union européenne ont débattu de l'accord migratoire avec la Turquie. Au-delà de cet enjeu, il faudrait désormais q… [+11888 chars]",2021-06-25,fr
